,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
88,Albert Chang,6.0,17.0,23.0,0.2608695652173913,0.7391304347826086
89,Albert Costa,379.0,269.0,648.0,0.5848765432098766,0.41512345679012347
90,Albert Gaertner,1.0,1.0,2.0,0.5,0.5
91,Albert Montanes,257.0,287.0,544.0,0.4724264705882353,0.5275735294117647
92,Albert Portas,142.0,198.0,340.0,0.4176470588235294,0.5823529411764706
93,Albert Ramos,237.0,267.0,504.0,0.47023809523809523,0.5297619047619048
94,Albert Simangunsong,0.0,1.0,1.0,0.0,1.0
95,Alberto Berasategui,277.01083032490976,197.005076142132,474.01590646704176,0.5843914234641201,0.41560857653587985
96,Alberto Brizzi,0.0,1.0,1.0,0.0,1.0
97,Alberto Capitan,0.0,1.0,1.0,0.0,1.0
98,Alberto Comas,0.0,1.0,1.0,0.0,1.0
99,Alberto Franco,0.0,1.0,1.0,0.0,1.0
100,Alberto Mancini,142.01408450704224,119.03361344537815,261.0476979524204,0.5440158469925535,0.45598415300744655
101,Alberto Martin,219.0,268.0,487.0,0.44969199178644764,0.5503080082135524
102,Alberto Martorell,1.0,7.0,8.0,0.125,0.875
103,Alberto Paris,0.0,1.0,1.0,0.0,1.0
104,Alberto Riba,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333
105,Alberto Tous,40.025,61.016393442622956,101.04139344262296,0.39612478249053906,0.6038752175094609
106,Alcides Procopio Jr,0.0,1.0,1.0,0.0,1.0
107,Aldin Setkic,0.0,3.0,3.0,0.0,1.0
108,Alejandro Aramburu,4.0,12.0,16.0,0.25,0.75
109,Alejandro Cortes,18.0,34.0,52.0,0.34615384615384615,0.6538461538461539
110,Alejandro Davidovich Fokina,43.0,43.0,86.0,0.5,0.5
111,Alejandro Falla,97.0,159.0,256.0,0.37890625,0.62109375
112,Alejandro Ganzabal,46.0,67.0,113.0,0.40707964601769914,0.5929203539823009
113,Alejandro Gattiker,4.0,23.0,27.0,0.14814814814814814,0.8518518518518519
114,Alejandro Gomez Gb42,1.0,1.0,2.0,0.5,0.5
115,Alejandro Gonzalez,12.0,34.0,46.0,0.2608695652173913,0.7391304347826086
116,Alejandro Harms,0.0,1.0,1.0,0.0,1.0
117,Alejandro Hernandez,11.0,25.0,36.0,0.3055555555555556,0.6944444444444444
118,Alejandro Kon,0.0,1.0,1.0,0.0,1.0
119,Alejandro Olmedo,46.0,48.0,94.0,0.48936170212765956,0.5106382978723404
120,Alejandro Pierola,17.058823529411764,47.02127659574468,64.08010012515645,0.26621093749999997,0.7337890625
121,Alejandro Tabilo,4.0,6.0,10.0,0.4,0.6
122,Alejo Mancisidor,5.0,21.0,26.0,0.19230769230769232,0.8076923076923077
123,Aleksandar Kitinov,0.0,2.0,2.0,0.0,1.0
124,Aleksandar Vukic,2.0,6.0,8.0,0.25,0.75
125,Aleksandr Nedovyesov,4.0,20.0,24.0,0.16666666666666666,0.8333333333333334
126,Aleksandre Metreveli,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
127,Alen Avidzba,1.0,1.0,2.0,0.5,0.5
128,Alessandro Baldoni,0.0,6.0,6.0,0.0,1.0
129,Alessandro Bega,0.0,1.0,1.0,0.0,1.0
130,Alessandro De Minicis,9.11111111111111,17.058823529411764,26.169934640522875,0.34815184815184813,0.6518481518481518
131,Alessandro Giannessi,12.0,21.0,33.0,0.36363636363636365,0.6363636363636364
132,Alessio Di Mauro,16.0,36.0,52.0,0.3076923076923077,0.6923076923076923
133,Alex Antonitsch,101.0,136.0,237.0,0.42616033755274263,0.5738396624472574
134,Alex Bogdanovic,10.0,29.0,39.0,0.2564102564102564,0.7435897435897436
135,Alex Bogomolov Jr,69.0,105.0,174.0,0.39655172413793105,0.603448275862069
136,Alex Bolt,13.0,23.0,36.0,0.3611111111111111,0.6388888888888888
137,Alex Calatrava,69.0,109.0,178.0,0.38764044943820225,0.6123595505617978
138,Alex Clayton,0.0,1.0,1.0,0.0,1.0
139,Alex Corretja,427.0,281.0071174377224,708.0071174377224,0.6031012817290776,0.3968987182709223
140,Alex De Minaur,106.0,79.0,185.0,0.572972972972973,0.42702702702702705
141,Alex Geuer,0.0,1.0,1.0,0.0,1.0
142,Alex Kim,8.0,26.0,34.0,0.23529411764705882,0.7647058823529411
143,Alex Kurucz,2.0,11.181818181818182,13.181818181818182,0.15172413793103448,0.8482758620689655
144,Alex Kuznetsov,9.0,30.0,39.0,0.23076923076923078,0.7692307692307693
145,Alex Lopez Moron,18.0,36.0,54.0,0.3333333333333333,0.6666666666666666
146,Alex Mayer,22.0,8.0,30.0,0.7333333333333333,0.26666666666666666
147,Alex Metreveli,216.0,100.0,316.0,0.6835443037974683,0.31645569620253167
148,Alex Molcan,7.0,5.0,12.0,0.5833333333333334,0.4166666666666667
149,Alex Nizet,0.0,1.0,1.0,0.0,1.0
150,Alex Obrien,93.0,135.0,228.0,0.40789473684210525,0.5921052631578947
151,Alex Radulescu,40.0,56.0,96.0,0.4166666666666667,0.5833333333333334
152,Alex Stepanek,2.0,9.0,11.0,0.18181818181818182,0.8181818181818182
153,Alex Witt,0.0,1.0,1.0,0.0,1.0
154,Alexandar Lazarov,0.0,3.0,3.0,0.0,1.0
155,Alexandar Lazov,0.0,1.0,1.0,0.0,1.0
156,Alexander Bublik,64.0,68.0,132.0,0.48484848484848486,0.5151515151515151
157,Alexander Cozbinov,0.0,3.0,3.0,0.0,1.0
158,Alexander Donski,0.0,1.0,1.0,0.0,1.0
159,Alexander Erler,1.0,1.0,2.0,0.5,0.5
160,Alexander Kudryavtsev,5.0,15.0,20.0,0.25,0.75
161,Alexander Marcial,1.0,6.0,7.0,0.14285714285714285,0.8571428571428571
162,Alexander Mronz,62.0,107.0,169.0,0.3668639053254438,0.6331360946745562
163,Alexander Peya,18.0,45.0,63.0,0.2857142857142857,0.7142857142857143
164,Alexander Popp,45.0,65.0,110.0,0.4090909090909091,0.5909090909090909
165,Alexander Reichel,3.0,8.0,11.0,0.2727272727272727,0.7272727272727273
